Index,Season,Year,Name,Studio,Episodes,Episode Duration,Genres,Release Date,Source,Score
3308,spring,2010,Nodame Cantabile OVA 2,J.C.Staff,1,,"Romance,Josei,Comedy",40294,Source Unknown,
3281,spring,2010,One Piece Film: Strong World Episode 0,Toei Animation,1,,"Superpower,Shounen,Fantasy,Comedy,Adventure,Action",40238,Manga,7.88
3351,spring,2010,Ookiku Furikabutte: Natsu no Scorebook,A-1 Pictures,2,,"Sports,Comedy",40261,Source Unknown,
3328,spring,2010,Ookiku Furikabutte: Natsu no Taikai-hen,A-1 Pictures,13,24,"Sports,Comedy",40270,Manga,
3364,spring,2010,Peeping Life: The Perfect Emotion,,10,5,"Slice of Life,Comedy",40284,Original,
3367,spring,2010,Peeping Life: The Perfect Emotion Special,,1,,"Slice of Life,Comedy",40284,Original,
3358,spring,2010,Planzet,,1,,"Sci-Fi,Mecha,Action",40320,Source Unknown,
3342,spring,2010,Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!,Toei Animation,1,70,"Shoujo,Magic,Fantasy,Action",40257,Original,
3326,spring,2010,Queen's Blade: Gyokuza wo Tsugu Mono Specials,Arms,6,3,"Fantasy,Ecchi,Adventure,Action",40291,Other,
3304,spring,2010,Rainbow: Nisha Rokubou no Shichinin,Madhouse,26,22,"Thriller,Seinen,Historical,Drama",40270,Manga,8.37
3362,spring,2010,Saikyou Bushouden: Sangoku Engi,,52,25,Historical,40272,Novel,
3336,spring,2010,Saraiya Goyou,Manglobe,12,23,"Seinen,Samurai,Historical",40284,Manga,
3290,spring,2010,Seikon no Qwaser,Hoods Entertainment,24,24,"Superpower,Supernatural,Seinen,Ecchi,Action",40272,Manga,6.25
3313,spring,2010,Seikon no Qwaser Picture Drama,TAKI Corporation,16,2,Ecchi,40289,Source Unknown,
3350,spring,2010,Senjou no Valkyria Special,A-1 Pictures,1,,Comedy,40275,Source Unknown,
3333,spring,2010,Senkou no Night Raid,A-1 Pictures,13,23,"Superpower,Military,Historical,Action",40274,Original,
3348,spring,2010,Seto no Hanayome Picture Drama,,1,,"School,Romance,Parody,Comedy",40240,Source Unknown,
3315,spring,2010,Sex Pistols,,2,30,"Yaoi,Supernatural,Drama,Comedy",40263,Manga,
3287,spring,2010,Shakugan no Shana S,J.C.Staff,4,28,"Supernatural,School,Romance,Fantasy,Drama,Action",40323,Light Novel,7.51
3339,spring,2010,Shin Koihime†Musou: Live Revolution,Doga Kobo,1,,"Music,Ecchi",40254,Visual Novel,
3334,spring,2010,Shin Koihime†Musou: Otome Tairan,Doga Kobo,12,25,"Historical,Fantasy,Ecchi,Comedy,Adventure",40269,Visual Novel,
3338,spring,2010,Super Street Fighter IV,Gonzo,1,,"Shounen,Adventure,Action",40296,Game,
3317,spring,2010,Tales of Symphonia The Animation: Tethe'alla-hen,ufotable,4,40,"Shounen,Martial Arts,Magic,Fantasy,Adventure,Action",40262,Game,
3329,spring,2010,Tales of Symphonia The Animation: Tethe'alla-hen Specials,ufotable,4,6,Comedy,40262,Game,
3272,spring,2010,To LOVE-Ru OVA,Xebec,6,25,"Shounen,Sci-Fi,School,Harem,Ecchi,Comedy",40270,Manga,7.52
3285,spring,2010,Toaru Kagaku no Railgun: Motto Marutto Railgun,J.C.Staff,2,8,"Superpower,Fantasy,Action",40326,Manga,7.22
3357,spring,2010,Tono to Issho,Gathering,1,,"Seinen,Samurai,Parody,Historical,Comedy",40262,4-koma Manga,
3289,spring,2010,Trigun: Badlands Rumble,Madhouse,1,90,"Sci-Fi,Comedy,Action",40270,Manga,7.76
3323,spring,2010,True Tears Epilogue,P.A. Works,1,,"School,Romance,Music",40263,Original,
3331,spring,2010,True Tears: Raigomaru to Jibeta no Monogatari,P.A. Works,1,,Kids,40263,Original,
3337,spring,2010,Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro,Zexcs,1,,"Supernatural,Fantasy,Comedy",40263,Game,
3314,spring,2010,Uragiri wa Boku no Namae wo Shitteiru,J.C.Staff,24,23,"Shounen Ai,Shoujo,Fantasy,Drama,Adventure",40280,Manga,7.36
3282,spring,2010,Working!!,A-1 Pictures,13,24,"Slice of Life,Seinen,Romance,Comedy",40272,4-koma Manga,7.79
3301,spring,2010,xxxHOLiC Rou,Production I.G,2,35,"Supernatural,Mystery",40291,Source Unknown,8.02
3346,spring,2010,Yebisu Celebrities 1st,,1,,Yaoi,40326,Manga,
3312,spring,2010,Yojouhan Shinwa Taikei,Madhouse,11,23,"Romance,Psychological,Mystery,Comedy",40291,Novel,8.36
3324,spring,2010,Yojouhan Shinwa Taikei Specials,Madhouse,3,7,Comedy,40291,Novel,
3316,spring,2010,Yume-iro Pâtissière,Studio Pierrot,50,24,"Shoujo,School,Kids",40272,Manga,7.72
3349,spring,2010,Zettai Karen Children Gentei Kaikin!! OVA Chou Sakidori Special!!,SynergySP,1,,"Supernatural,Shounen,Comedy,Action",40284,Source Unknown,
3432,summer,2010,"""Bungaku Shoujo"" Memoire",Production I.G,3,24,"School,Romance,Drama",40354,Light Novel,
3409,summer,2010,"""Bungaku Shoujo"" Movie",Production I.G,1,100,"School,Romance,Mystery,Drama",40417,Light Novel,7.41
3449,summer,2010,11eyes Picture Drama,Doga Kobo,13,5,Comedy,40354,Source Unknown,
3397,summer,2010,11eyes: Momoiro Genmutan,Doga Kobo,1,,"Superpower,Supernatural,Ecchi,Comedy",40354,Visual Novel,6.67
3454,summer,2010,Akage no Anne: Green Gables e no Michi,Nippon Animation,1,99,"Slice of Life,Shoujo,Historical,Adventure",40376,Novel,
3459,summer,2010,"Akai Shouzou: Char, Soshite Frontal e",Sunrise,1,105,"Space,Shounen,Sci-Fi,Military,Mecha,Drama",40403,Source Unknown,
3373,summer,2010,Aki-Sora: Yume no Naka,Hoods Entertainment,2,25,"Yuri,Seinen,Romance,Ecchi",40389,Manga,6.29
3396,summer,2010,Amagami SS,AIC,25,24,"Slice of Life,School,Romance,Comedy",40361,Visual Novel,7.27
3394,summer,2010,Asobi ni Iku yo!,AIC Plus+,12,24,"Sci-Fi,Romance,Harem,Ecchi,Comedy",40370,Light Novel,6.73
3410,summer,2010,"Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""",Silver Link,1,,"Parody,Comedy",40419,Light Novel,
3416,summer,2010,Bakugan Battle Brawlers: New Vestroia,TMS Entertainment,52,24,"Shounen,Game,Fantasy,Adventure",40365,Original,7.04
3388,summer,2010,Black Lagoon: Roberta's Blood Trail,Madhouse,5,33,"Seinen,Action",40356,Manga,7.88
3386,summer,2010,Black★Rock Shooter (OVA),Ordet,1,,"Slice of Life,School,Drama,Action",40383,Other,6.97
3398,summer,2010,Break Blade 2: Ketsubetsu no Michi,Production I.G,1,,"Shounen,Military,Mecha,Fantasy,Action",40355,Manga,7.7
3440,summer,2010,Break Blade Picture Drama,Production I.G,6,2,"Fantasy,Comedy",40382,Source Unknown,
3426,summer,2010,Cat Shit One,Studio Anima,1,,"Military,Fantasy,Action",40376,Manga,
3403,summer,2010,Colorful (Movie),Sunrise,1,127,"Supernatural,Slice of Life,Drama",40411,Novel,7.78
3374,summer,2010,Darker than Black: Kuro no Keiyakusha Gaiden,Bones,4,24,"Superpower,Sci-Fi,Mystery,Action",40380,Original,7.84
3393,summer,2010,Densetsu no Yuusha no Densetsu,Zexcs,24,24,"Shounen,Magic,Fantasy,Adventure,Action",40361,Light Novel,7.54
3431,summer,2010,Digimon Xros Wars,Toei Animation,30,25,"Shounen,Fantasy,Comedy,Adventure,Action",40365,Original,
3441,summer,2010,Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,Toei Animation,25,25,"Shounen,Kids,Fantasy,Comedy,Adventure,Action",40365,Original,
3380,summer,2010,Durarara!! Specials,Brain's Base,2,24,"Supernatural,Mystery,Action",40415,Light Novel,7.57
3405,summer,2010,Eve no Jikan (Movie),Studio Rikka,1,106,"Slice of Life,Sci-Fi",40387,Original,7.68
3377,summer,2010,Fullmetal Alchemist: Brotherhood Specials,Bones,4,15,"Shounen,Military,Magic,Fantasy,Drama,Adventure",40415,Manga,7.93
3422,summer,2010,Giant Killing,Studio Deen,26,24,"Sports,Seinen,Drama",40363,Manga,7.62
3450,summer,2010,Heartcatch Precure!,Toei Animation,49,24,"Shoujo,School,Magic,Fantasy,Comedy,Action",40363,Original,
3421,summer,2010,HenSemi,Xebec,2,26,"Seinen,Ecchi,Comedy",40382,Manga,
3436,summer,2010,Heroman,Bones,26,24,"Shounen,Sci-Fi,Action",40360,Original,
3415,summer,2010,"Hetalia Axis Powers Movie: Paint it, White",Studio Deen,1,80,"Parody,Historical,Comedy",40334,Digital Manga,
3391,summer,2010,Higashi no Eden Movie II: Paradise Lost,Production I.G,1,92,"Thriller,Romance,Mystery,Drama,Comedy,Action",40394,Original,7.55
