Index,Season,Year,Name,Studio,Episodes,Episode Duration,Genres,Release Date,Source,Score
1,winter,1907,Katsudou Shashin,,1,,,2558,Original,
2,spring,1917,Saru to Kani no Gassen,,1,,Drama,6350,Source Unknown,
3,summer,1917,Namakura Gatana,,1,,"Samurai,Comedy",6391,Original,
4,winter,1929,Issunboushi no Shusse,,1,,Supernatural,10594,Source Unknown,
8,winter,1931,Ahiru no Otegara,,1,,Adventure,11324,Original,
7,winter,1931,Kuro Nyago,,1,,Fantasy,11293,Source Unknown,
6,winter,1931,Nezumi no Rusuban,,1,,Action,11324,Source Unknown,
5,winter,1931,Urashima Tarou (1931),,1,,Action,11324,Other,
9,winter,1932,Dankichi-jima no Olympic Taikai,,1,,"Sports,Action",11689,Source Unknown,
11,spring,1934,Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,,1,,Fantasy,12522,Other,
12,summer,1934,Genroku Koi Moyou: Sankichi to Osayo,,1,,"Romance,Adventure",12593,Original,
10,winter,1934,Bouken Dankichi: Hyouryuu no Maki,,1,,Adventure,12420,Source Unknown,
13,winter,1935,Shoujouji no Tanuki-bayashi Ban Danemon,,1,,Supernatural,12785,Original,
14,winter,1936,Chinkoroheibei Tamatebako,,1,,"Kids,Fantasy,Comedy",13150,Source Unknown,
15,spring,1943,Kumo to Tulip,,1,,Adventure,15811,Source Unknown,
16,spring,1943,Momotarou no Umiwashi,,1,,"Military,Kids,Historical",15790,Source Unknown,
17,winter,1946,Sakura,,1,,Fantasy,16803,Source Unknown,
18,spring,1957,Koneko no Rakugaki,Toei Animation,1,,Comedy,20953,Source Unknown,
20,summer,1960,Saiyuuki,Toei Animation,1,88,Adventure,22142,Source Unknown,
19,winter,1960,3-tsu no Hanashi,,1,,Fantasy,21930,Source Unknown,
21,winter,1961,Kaguya-hime,,1,,"Kids,Historical",22282,Source Unknown,
22,winter,1962,Acchi Kocchi,,1,,Dementia,22647,Source Unknown,
23,winter,1962,Ningen Doubutsuen,,1,,Dementia,22647,Source Unknown,
27,spring,1963,Wanpaku Ouji no Orochi Taiji,Toei Animation,1,86,Adventure,23094,Source Unknown,
25,winter,1963,Ai,,1,,"Dementia,Romance,Psychological",23012,Source Unknown,
26,winter,1963,Mu Di,,1,,Music,23012,Source Unknown,
24,winter,1963,Tetsuwan Atom,Mushi Production,193,26,"Shounen,Sci-Fi,Mecha,Drama,Adventure,Action",23012,Manga,
32,summer,1964,Shounen Ninja Kaze no Fujimaru,Toei Animation,65,24,"Shounen,Samurai,Adventure,Action",23535,Source Unknown,
31,summer,1964,Tetsuwan Atom: Uchuu no Yuusha,Mushi Production,1,87,"Shounen,Sci-Fi,Mecha,Drama,Adventure,Action",23584,Original,
30,winter,1964,0-sen Hayato,,38,15,"Military,Historical",23397,Source Unknown,
28,winter,1964,Ookami Shounen Ken (Movie),Toei Animation,1,,"Kids,Adventure",23366,Source Unknown,
29,winter,1964,Wan Wan Chuushingura,Toei Animation,1,81,"Fantasy,Drama,Adventure,Action",23366,Source Unknown,
33,summer,1965,Wonder 3,,52,23,"Sci-Fi,Comedy,Adventure,Action",23899,Source Unknown,
36,summer,1966,Cyborg 009,Toei Animation,1,65,"Shounen,Sci-Fi,Drama,Adventure,Action",24309,Manga,
35,summer,1966,Jungle Taitei Movie,,1,75,"Shounen,Adventure",24319,Source Unknown,
34,winter,1966,Osomatsu-kun,Studio Zero,56,25,Comedy,24143,Manga,
41,spring,1967,Cyborg 009: Kaijuu Sensou,,1,60,"Sci-Fi,Adventure,Action",24550,Source Unknown,
39,spring,1967,Mach GoGoGo,Tatsunoko Production,52,23,"Sports,Shounen,Cars,Adventure",24564,Manga,
40,spring,1967,Perman,,54,25,"Comedy,Adventure",24564,Source Unknown,
42,spring,1967,Ribbon no Kishi,Mushi Production,52,23,"Romance,Mystery,Fantasy,Action",24564,Manga,
38,winter,1967,Alps no Shoujo Heidi Pilot,,1,,"Slice of Life,Drama,Comedy",24473,Source Unknown,
37,winter,1967,Heya,,1,,"Dementia,Comedy",24473,Source Unknown,
46,spring,1968,Andersen Monogatari,,1,80,"Kids,Fantasy,Drama",24916,Source Unknown,
44,spring,1968,Cyborg 009 (TV),Sunrise,26,24,"Shounen,Sci-Fi,Mecha,Adventure,Action",24933,Source Unknown,
45,spring,1968,Kaibutsu-kun,,49,25,"Horror,Comedy",24949,Source Unknown,
48,summer,1968,Gegege no Kitarou (1968 Movie),Toei Animation,1,,"Supernatural,Horror,Fantasy,Comedy,Adventure",25040,Source Unknown,
47,summer,1968,Taiyou no Ouji: Horus no Daibouken,Toei Animation,1,82,"Magic,Drama,Adventure",25040,Source Unknown,
43,winter,1968,Gegege no Kitarou (1968),Toei Animation,65,25,"Supernatural,Horror,Fantasy,Comedy,Adventure",24840,Manga,
51,spring,1969,Dororo to Hyakkimaru,Mushi Production,26,26,"Supernatural,Adventure,Action",25299,Manga,
52,summer,1969,Soratobu Yuureisen,Toei Animation,1,60,"Sci-Fi,Shounen,Mecha,Drama,Adventure,Action",25404,Source Unknown,
50,winter,1969,Himitsu no Akko-chan,Toei Animation,94,24,"Shoujo,School,Magic",25209,Source Unknown,
49,winter,1969,Lupin III: Pilot Film,,1,,"Shounen,Comedy,Action",25204,Source Unknown,
55,spring,1970,Ashita no Joe,Mushi Production,79,25,"Sports,Slice of Life,Shounen,Drama,Action",25659,Manga,
56,summer,1970,Kaitei Sanman Mile,,1,60,"Fantasy,Adventure",25768,Source Unknown,
53,winter,1970,Attack No.1,Tokyo Movie Shinsha,104,24,"Sports,Shoujo,Drama",25544,Manga,
54,winter,1970,Toumei Shounen Tantei Akira,,1,,"Shounen,Action",25569,Source Unknown,
58,summer,1971,Ali Baba to 40-hiki no Touzoku,Toei Animation,1,,"Fantasy,Action",26122,Source Unknown,
57,winter,1971,Chikotan,,1,,Psychological,25934,Source Unknown,
60,spring,1972,Umi no Triton,,27,23,"Shounen,Fantasy,Adventure",26390,Source Unknown,
61,summer,1972,Devilman,Toei Animation,39,25,"Supernatural,Horror,Demons,Action",26488,Source Unknown,
59,winter,1972,Kiseichuu no Ichiya,,1,,"Dementia,Horror",26299,Source Unknown,
65,spring,1973,Panda Kopanda,Tokyo Movie Shinsha,2,35,"Kids,Comedy",26740,Original,
66,spring,1973,Wansa-kun,Mushi Production,26,25,Comedy,26756,Manga,
67,summer,1973,Kanashimi no Belladonna,,1,89,"Dementia,Historical,Drama",26845,Book,
68,summer,1973,Mazinger Z tai Devilman,,1,,"Shounen,Sci-Fi,Mecha,Demons,Adventure",26863,Source Unknown,
62,winter,1973,Mazinger Z,Toei Animation,92,25,"Shounen,Sci-Fi,Mecha,Drama,Action",26636,Manga,
63,winter,1973,Panda Kopanda,Tokyo Movie Shinsha,2,35,"Kids,Comedy",26650,Original,
64,winter,1973,Yama Nezumi Rocky Chuck,Nippon Animation,52,26,"Kids,Fantasy,Adventure",26671,Source Unknown,
74,spring,1974,Chargeman Ken!,Tama Production,65,6,"Shounen,Sci-Fi,Adventure,Action",27120,Original,
71,spring,1974,Chiisana Viking Vickie,Nippon Animation,78,24,"Kids,Historical,Comedy,Adventure",27122,Source Unknown,
72,spring,1974,Getter Robo,Toei Animation,51,25,"Shounen,Sci-Fi,Mecha,Action",27123,Source Unknown,
73,spring,1974,Majokko Megu-chan,Toei Animation,72,25,"Shoujo,Magic",27120,Source Unknown,
75,summer,1974,Mazinger Z tai Ankoku Daishougun,,1,,"Shounen,Mecha,Action",27235,Source Unknown,
69,winter,1974,Alps no Shoujo Heidi,Nippon Animation,52,25,"Slice of Life,Historical,Drama",27035,Book,
70,winter,1974,Pop,,1,,Comedy,27030,Source Unknown,
79,spring,1975,Andersen Douwa: Ningyohime,Toei Animation,1,68,"Shoujo,Romance,Fantasy",27474,Source Unknown,
80,spring,1975,Gamba no Bouken,Tokyo Movie Shinsha,26,24,"Kids,Adventure",27491,Novel,
83,spring,1975,Getter Robo G,,39,24,"Shounen,Sci-Fi,Mecha,Action",27529,Source Unknown,
81,spring,1975,Kore ga UFO da! Soratobu Enban,Toei Animation,1,,"Space,Sci-Fi",27474,Original,
82,spring,1975,La Seine no Hoshi,Sunrise,39,23,"Shoujo,Historical,Drama,Adventure",27488,Source Unknown,
78,spring,1975,Mitsubachi Maya no Bouken,Nippon Animation,52,25,"Kids,Comedy,Adventure",27485,Book,
84,spring,1975,Yuusha Raideen,Sunrise,50,24,"Shounen,Sci-Fi,Mecha,Adventure,Action",27488,Original,
86,summer,1975,Uchuu Enban Dai-Sensou,,1,,"Romance,Mecha,Action",27596,Source Unknown,
85,summer,1975,Uchuu no Kishi Tekkaman,Tatsunoko Production,26,25,"Space,Shounen,Sci-Fi,Mecha,Adventure,Action",27577,Original,
77,winter,1975,4.Eyes,,1,,Dementia,27395,Source Unknown,
76,winter,1975,Flanders no Inu,Nippon Animation,52,26,"Slice of Life,Historical,Drama",27399,Novel,
91,spring,1976,Chou Denji Robo Combattler V,Sunrise,54,25,"Shounen,Sci-Fi,Mecha,Adventure",27867,Source Unknown,
90,spring,1976,Daikuu Maryuu Gaiking,Toei Animation,44,23,"Shounen,Sci-Fi,Mecha,Adventure",27851,Original,
93,spring,1976,Gowapper 5 Gordam,,36,25,,27854,Source Unknown,
92,spring,1976,UFO Senshi Dai Apolon,Wao World,26,24,"Sci-Fi,Mecha,Action",27856,Original,
94,summer,1976,Blocker Gundan IV Machine Blaster,Nippon Animation,38,23,"Sci-Fi,Mecha,Action",27946,Source Unknown,
89,winter,1976,Fengshen Bang,,1,78,"Martial Arts,Fantasy,Action",27801,Novel,
88,winter,1976,Groizer X,,36,25,"Sci-Fi,Mecha",27766,Source Unknown,
87,winter,1976,Haha wo Tazunete Sanzenri,Nippon Animation,52,26,"Slice of Life,Historical,Drama,Adventure",27763,Source Unknown,
98,spring,1977,Ashita e Attack!,Nippon Animation,23,24,"Sports,School,Drama",28219,Original,
102,spring,1977,Chogattai Majutsu Robot Ginguiser,Nippon Animation,26,25,"Shounen,Sci-Fi,Mecha,Adventure",28224,Source Unknown,
100,spring,1977,Gasshin Sentai Mechander Robo,,35,23,"Space,Sci-Fi,Mystery,Military,Mecha",28187,Source Unknown,
101,spring,1977,Hyouga Senshi Gaislugger,Toei Animation,20,30,"Sci-Fi,Mecha,Action",28227,Source Unknown,
99,spring,1977,Wakusei Robo Danguard Ace,Toei Animation,56,25,"Shounen,Sci-Fi,Mecha",28190,Source Unknown,
104,summer,1977,Chou Denji Machine Voltes V,Sunrise,40,23,"Shounen,Sci-Fi,Mecha,Drama,Adventure,Action",28280,Original,
106,summer,1977,Choujin Sentai Baratack,Toei Animation,31,25,"Sci-Fi,Mecha,Adventure",28309,Source Unknown,
105,summer,1977,Seton Doubutsuki: Kuma no Ko Jacky,Nippon Animation,26,24,"Historical,Drama,Adventure",28283,Source Unknown,
103,summer,1977,Uchuu Senkan Yamato (Movie),,1,140,"Space,Sci-Fi,Military,Drama",28343,Original,
96,winter,1977,Araiguma Rascal,Nippon Animation,52,26,"Slice of Life,Historical,Drama",28127,Source Unknown,
97,winter,1977,Jetter Mars,Toei Animation,27,23,"Sci-Fi,Mecha,Drama,Action",28159,Original,
95,winter,1977,Time Bokan Series: Yatterman,Tatsunoko Production,108,25,"Mecha,Comedy,Adventure",28126,Source Unknown,
113,spring,1978,Candy Candy: Haru no Yobigoe,Toei Animation,1,,"Slice of Life,Shoujo,Drama",28567,Source Unknown,
112,spring,1978,Chirin no Suzu,,1,,"Fantasy,Drama,Adventure",28560,Picture Book,
116,spring,1978,Majokko Tickle,Toei Animation,45,24,"Shoujo,Magic,Comedy",28555,Source Unknown,
110,spring,1978,Mirai Shounen Conan,Nippon Animation,26,29,"Sci-Fi,Drama,Adventure",28584,Novel,
115,spring,1978,SF Saiyuuki Starzinger,Toei Animation,73,25,"Space,Shounen,Sci-Fi,Mecha,Adventure",28582,Source Unknown,
114,spring,1978,Toushou Daimos,Sunrise,44,24,"Shounen,Sci-Fi,Romance,Mecha,Drama,Adventure",28581,Source Unknown,
111,spring,1978,Uchuu Kaizoku Captain Herlock,Toei Animation,42,25,"Space,Seinen,Sci-Fi,Drama,Adventure,Action",28563,Manga,
119,summer,1978,Haikara-san ga Tooru,Nippon Animation,42,24,"Slice of Life,Shoujo,Romance,Historical,Drama",28644,Manga,
121,summer,1978,Hoshi no Oujisama Petit Prince,,39,24,Adventure,28675,Novel,
123,summer,1978,Kagaku Ninja-tai Gatchaman (Movie),Tatsunoko Production,1,110,"Shounen,Sci-Fi,Adventure,Action",28686,Source Unknown,
120,summer,1978,Muteki Koujin Daitarn 3,Sunrise,40,25,"Sci-Fi,Mecha",28644,Original,
117,summer,1978,Saraba Uchuu Senkan Yamato: Ai no Senshi-tachi,,1,152,"Space,Sci-Fi,Military,Drama,Action",28707,Original,
118,summer,1978,Uchuu Kaizoku Captain Herlock: Arcadia-gou no Nazo,Toei Animation,1,,"Space,Sci-Fi,Drama,Adventure,Action",28693,Source Unknown,
122,summer,1978,Uchuu Majin Daikengou,,26,25,"Space,Shounen,Sci-Fi,Mecha,Adventure,Action",28698,Original,
108,winter,1978,77Danui Bimil,,1,69,"Drama,Action",28491,Source Unknown,
107,winter,1978,Perrine Monogatari,Nippon Animation,53,25,"Slice of Life,Shoujo,Historical,Drama",28491,Source Unknown,
109,winter,1978,Yuki no Joou,,1,,Fantasy,28491,Book,
132,spring,1979,Alps no Shoujo Heidi (1979),Nippon Animation,1,107,"Slice of Life,Historical,Drama",28931,Source Unknown,
135,spring,1979,Animation Kikou: Marco Polo no Bouken,Madhouse,43,20,"Historical,Adventure",28952,Source Unknown,
133,spring,1979,Cyborg 009 (1979),Toei Animation,50,24,"Shounen,Sci-Fi,Mecha,Adventure,Action",28920,Source Unknown,
131,spring,1979,Mobile Suit Gundam,Sunrise,43,25,"Space,Sci-Fi,Military,Mecha,Action",28952,Original,7.78
136,spring,1979,Paris no Isabelle,Dax Production,13,25,"Historical,Drama",28964,Original,
137,spring,1979,SF Saiyuuki Starzinger (Movie),Toei Animation,1,,"Shounen,Sci-Fi,Mecha,Adventure",28931,Source Unknown,
134,spring,1979,Tatsu no Ko Tarou,Toei Animation,1,75,"Historical,Fantasy,Demons,Adventure",28931,Source Unknown,
138,summer,1979,Ginga Tetsudou 999 (Movie),Toei Animation,1,128,"Space,Sci-Fi,Fantasy,Drama,Adventure",29071,Manga,
140,summer,1979,Kaitei Choutokkyuu: Marine Express,,1,91,"Sci-Fi,Drama,Comedy,Adventure,Action",29093,Source Unknown,
139,summer,1979,Uchuu Senkan Yamato: Aratanaru Tabidachi,,1,95,"Sci-Fi,Military,Drama",29067,Source Unknown,
141,summer,1979,Umi no Triton (1979),,2,,"Shounen,Fantasy,Adventure",29040,Source Unknown,
125,winter,1979,Akage no Anne,Nippon Animation,50,25,"Slice of Life,Historical,Drama",28862,Novel,
127,winter,1979,Doraemon: It's New Year!,,1,,"Shounen,Sci-Fi,Kids,Comedy",28856,Source Unknown,
128,winter,1979,Hana no Ko Lunlun,Toei Animation,50,24,"Shoujo,Magic,Drama",28895,Source Unknown,
124,winter,1979,Lupin III: Lupin vs. Fukusei-ningen,,1,102,"Seinen,Mystery,Comedy,Adventure,Action",28840,Manga,
126,winter,1979,Lupin III: Pilot Film (1978),,1,,"Seinen,Mystery,Comedy,Adventure,Action",28840,Manga,
129,winter,1979,Tanpen Unico: Kuroi Kumo to Shiroi Hane,,1,,"Kids,Fantasy,Adventure",28856,Manga,
130,winter,1979,Time Bokan Series: Zenderman,Tatsunoko Production,52,24,"Superpower,Sci-Fi,Mecha,Comedy,Adventure,Action",28889,Source Unknown,
150,spring,1980,Ashita no Joe (Movie),Mushi Production,1,153,"Sports,Drama,Action",29288,Source Unknown,
154,spring,1980,Densetsu Kyojin Ideon,Sunrise,39,25,"Space,Sci-Fi,Mecha,Drama",29349,Original,
149,spring,1980,Doraemon Movie 01: Nobita no Kyouryuu,Shin-Ei Animation,1,92,"Comedy,Adventure",29295,Source Unknown,
152,spring,1980,Ginga Tetsudou 999: Glass no Clair,Toei Animation,1,,"Space,Sci-Fi,Drama",29295,Manga,
156,spring,1980,Ie Naki Ko (Movie),,1,96,"Slice of Life,Drama,Adventure",29295,Source Unknown,
155,spring,1980,Sekai Meisaku Douwa: Mori wa Ikiteiru,Toei Animation,1,65,Fantasy,29295,Source Unknown,
151,spring,1980,Terra e...,Toei Animation,1,111,"Space,Shounen,Sci-Fi,Drama,Action",29337,Manga,
153,spring,1980,Tsurikichi Sanpei,Nippon Animation,109,24,"Sports,Adventure",29318,Source Unknown,
157,spring,1980,Wakakusa Monogatari,,1,68,"Slice of Life,Historical",29344,Source Unknown,
165,summer,1980,Fumoon,,1,86,Sci-Fi,29464,Source Unknown,
161,summer,1980,Ganbare Genki,Toei Animation,35,23,"Sports,Shounen,Comedy,Action",29418,Source Unknown,
160,summer,1980,Gegege no Kitarou: Chisougan,Toei Animation,1,,"Supernatural,Horror,Fantasy,Comedy,Adventure",29414,Source Unknown,
164,summer,1980,Haha wo Tazunete Sanzenri (Movie),Nippon Animation,1,107,"Slice of Life,Historical,Drama,Adventure",29421,Book,
163,summer,1980,Mahou Shoujo Lalabel: Umi ga Yobu Natsuyasumi,Toei Animation,1,,"Slice of Life,Shoujo,Magic,Comedy",29414,Source Unknown,
162,summer,1980,Uchuu Senshi Baldios,Ashi Productions,34,25,"Space,Shounen,Sci-Fi,Mecha,Drama,Adventure",29402,Source Unknown,
158,summer,1980,Yamato yo Towa ni,Toei Animation,1,150,"Space,Sci-Fi,Military,Drama,Adventure,Action",29435,Original,
159,summer,1980,Yami no Teio: Kyuuketsuki Dracula,Toei Animation,1,94,Vampire,29452,Source Unknown,
147,winter,1980,15 Sonyeon Uju Pyoryugi,,1,70,"Space,Shounen,Sci-Fi,Action",29221,Source Unknown,
145,winter,1980,Doraemon: Time Machine de Oshougatsu,,1,,"Shounen,Sci-Fi,Kids,Comedy,Adventure",29221,Source Unknown,
142,winter,1980,Lupin III: Cagliostro no Shiro,,1,100,"Seinen,Mystery,Comedy,Adventure,Action",29204,Manga,8
143,winter,1980,Nils no Fushigi na Tabi,Studio Pierrot,52,25,"Kids,Fantasy,Adventure",29228,Novel,
148,winter,1980,San Ge Heshang,,1,,Music,29221,Source Unknown,
146,winter,1980,Time Bokan Series: Time Patroltai Otasukeman,Tatsunoko Production,53,25,"Sci-Fi,Comedy,Adventure,Action",29253,Source Unknown,
144,winter,1980,Tom Sawyer no Bouken,Nippon Animation,49,25,"Slice of Life,Historical,Drama,Adventure",29226,Source Unknown,
185,spring,1981,Ai no Gakkou Cuore Monogatari,Nippon Animation,26,25,"Slice of Life,School,Historical,Drama",29679,Novel,
176,spring,1981,Doraemon Movie 02: Nobita no Uchuu Kaitakushi,Shin-Ei Animation,1,96,"Shounen,Kids,Fantasy,Comedy,Adventure",29659,Source Unknown,
174,spring,1981,Dr. Slump: Arale-chan,Toei Animation,243,25,"Slice of Life,Shounen,Sci-Fi,Comedy",29684,Source Unknown,
184,spring,1981,Helen Keller Monogatari: Ai to Hikari no Tenshi,,1,72,Drama,29711,Source Unknown,
179,spring,1981,Hello! Sandybell,Toei Animation,47,25,"Shoujo,Romance,Adventure",29651,Original,
178,spring,1981,Hyakujuu-Ou GoLion,Toei Animation,52,23,"Shounen,Sci-Fi,Mecha,Adventure",29649,Source Unknown,
183,spring,1981,Jarinko Chie,,1,110,"Slice of Life,Drama,Comedy",29687,Manga,
180,spring,1981,Meiken Jolie,,52,22,"Historical,Adventure",29683,Source Unknown,
173,spring,1981,Mobile Suit Gundam I,Sunrise,1,140,"Sci-Fi,Military,Mecha,Drama,Adventure,Action",29659,Original,
177,spring,1981,Natsu e no Tobira,Madhouse,1,,"Shounen Ai,Shoujo,Romance,Drama",29665,Source Unknown,
181,spring,1981,Shin Taketori Monogatari: 1000-nen Joou,Toei Animation,42,24,"Sci-Fi,Mystery,Drama",29692,Source Unknown,
175,spring,1981,Tiger Mask Nisei,Toei Animation,33,20,"Sports,Drama,Action",29696,Manga,
182,spring,1981,Unico,Madhouse,1,90,"Kids,Fantasy,Adventure",29659,Source Unknown,
190,summer,1981,Ashita no Joe 2 (Movie),,1,112,"Sports,Drama",29771,Source Unknown,
187,summer,1981,Daicon Opening Animations,Gainax,2,5,"Sci-Fi,Music,Mecha,Adventure,Action",29820,Other,
189,summer,1981,"Doraemon Movie: Boku, Momotarou no Nanna no Sa",Shin-Ei Animation,1,,"Shounen,Sci-Fi,Kids,Fantasy,Adventure",29799,Source Unknown,
192,summer,1981,Grick no Bouken,Studio Korumi,1,84,"Kids,Fantasy,Drama,Adventure",29788,Book,
193,summer,1981,Kyoufu Densetsu Kaiki! Frankenstein,Toei Animation,1,111,"Sci-Fi,Horror,Drama",29794,Source Unknown,
186,summer,1981,Mobile Suit Gundam II: Soldiers of Sorrow,Sunrise,1,135,"Space,Sci-Fi,Military,Mecha,Drama,Action",29778,Original,
191,summer,1981,Sengoku Majin Goushougun,Ashi Productions,26,24,"Sci-Fi,Parody,Mecha",29770,Source Unknown,
188,summer,1981,Sirius no Densetsu,,1,108,"Romance,Fantasy,Drama",29785,Source Unknown,
172,winter,1981,"Arano no Sakebi Koe: Hoero, Buck",Toei Animation,1,66,"Drama,Adventure",29589,Novel,
169,winter,1981,Cyborg 009: Chou Ginga Densetsu,Toei Animation,1,130,"Space,Sci-Fi,Action",29575,Source Unknown,
167,winter,1981,Doraemon: Doraemon Comes Back,,1,,"Shounen,Sci-Fi,Kids,Fantasy,Comedy",29589,Source Unknown,
170,winter,1981,Jiu Se Lu,,1,,Supernatural,29587,Source Unknown,
168,winter,1981,Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,Nippon Animation,50,24,"Slice of Life,Historical,Drama,Adventure",29590,Source Unknown,
166,winter,1981,Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,Toei Animation,1,130,"Space,Sci-Fi,Drama,Adventure",29594,Source Unknown,
171,winter,1981,Time Bokan Series: Yattodetaman,Tatsunoko Production,52,20,"Mecha,Fantasy,Comedy,Adventure,Action",29624,Source Unknown,
204,spring,1982,1000-nen Joou: Queen Millennia,Toei Animation,1,121,"Sci-Fi,Fantasy,Drama,Adventure",30023,Manga,
199,spring,1982,Doraemon Movie 03: Nobita no Daimakyou,,1,92,Adventure,30023,Source Unknown,
209,spring,1982,Haguregumo,Madhouse,1,91,"Seinen,Historical,Comedy",30065,Source Unknown,
208,spring,1982,Kagaku Kyuujo-tai TechnoVoyager,Toei Animation,18,25,"Space,Sci-Fi,Mecha,Adventure,Action",30058,Source Unknown,
200,spring,1982,Mahou no Princess Minky Momo,Ashi Productions,63,23,"Shoujo,Magic",30028,Source Unknown,
198,spring,1982,Mobile Suit Gundam III: Encounters in Space,Sunrise,1,140,"Sci-Fi,Military,Mecha,Drama,Adventure,Action",30023,Original,
202,spring,1982,Ochamegami Monogatari: Korokoro Pollon,,46,22,"Parody,Magic,Comedy",30079,Source Unknown,
203,spring,1982,Patalliro!,Toei Animation,49,24,"Shounen Ai,Shoujo,Romance,Comedy,Adventure",30050,Manga,
205,spring,1982,Sekai Meisaku Douwa: Aladdin to Mahou no Lamp,Toei Animation,1,65,"Fantasy,Adventure",30023,Source Unknown,
210,spring,1982,Sengoku Majin Goushougun (Movie),Ashi Productions,1,65,"Sci-Fi,Parody,Mecha",30065,Source Unknown,
206,spring,1982,Shiroi Kiba White Fang Monogatari,Sunrise,1,73,"Historical,Drama,Adventure",30076,Novel,
207,spring,1982,Tezuka Osamu no Don Dracula,,8,23,"Vampire,Supernatural,Horror,Comedy",30046,Manga,
201,spring,1982,"Urusei Yatsura: Haru da, Tobidase!",Studio Pierrot,2,25,"Sci-Fi,Romance,Drama,Comedy,Adventure,Action",30041,Manga,
214,summer,1982,Densetsu Kyojin Ideon: Hatsudou-hen,Sunrise,1,98,"Space,Sci-Fi,Mecha,Drama",30142,Source Unknown,
215,summer,1982,Densetsu Kyojin Ideon: Sesshoku-hen,Sunrise,1,85,"Space,Sci-Fi,Mecha,Drama",30142,Source Unknown,
217,summer,1982,Ginga Reppuu Baxingar,Kokusai Eigasha,39,25,"Mecha,Adventure,Action",30138,Original,
213,summer,1982,Space Adventure Cobra,TMS Entertainment,1,99,"Space,Sci-Fi,Adventure,Action",30135,Manga,
211,summer,1982,Taiyou no Ko Esteban,Studio Pierrot,39,27,"Sci-Fi,Historical,Adventure",30131,Novel,
216,summer,1982,The Kabocha Wine,Toei Animation,95,25,"Slice of Life,School,Romance,Comedy",30137,Manga,
212,summer,1982,Waga Seishun no Arcadia,Toei Animation,1,130,"Space,Sci-Fi,Drama,Adventure,Action",30160,Source Unknown,
194,winter,1982,Cello Hiki no Gauche (1982),Studio Ghibli,1,63,"Music,Kids,Fantasy,Drama",29974,Book,
195,winter,1982,Doraemon Meets Hattori the Ninja,,1,,"Shounen,Sci-Fi,Kids,Comedy",29954,Source Unknown,
196,winter,1982,Sentou Mecha Xabungle,Sunrise,50,24,"Shounen,Sci-Fi,Military,Mecha",29988,Source Unknown,
197,winter,1982,Wagahai wa Neko de Aru,Toei Animation,1,75,"Slice of Life,Historical,Comedy",29999,Source Unknown,
226,spring,1983,Aishite Knight,Toei Animation,42,25,"Shoujo,Romance,Comedy",30376,Manga,
229,spring,1983,Crusher Joe,Sunrise,1,131,"Space,Sci-Fi,Adventure,Action",30387,Manga,
223,spring,1983,Doraemon Movie 04: Nobita no Kaitei Kiganjou,,1,95,Fantasy,30387,Source Unknown,
239,spring,1983,Doraemon: It's Spring!,,1,,"Shounen,Kids,Fantasy,Comedy,Adventure",30405,Source Unknown,
235,spring,1983,Genma Taisen,Madhouse,1,151,"Sci-Fi,Mecha,Drama,Comedy,Adventure,Action",30387,Manga,
237,spring,1983,Ginga Shippuu Sasuraiger,,43,25,"Mecha,Adventure,Action",30411,Original,
224,spring,1983,Golgo 13,,1,90,"Seinen,Military,Drama,Adventure,Action",30464,Source Unknown,
228,spring,1983,Kinnikuman,Toei Animation,137,24,"Sports,Shounen,Comedy,Adventure",30409,Manga,
225,spring,1983,Lady Georgie,,45,25,"Shoujo,Romance,Historical,Drama",30415,Manga,
234,spring,1983,Nanako SOS,,39,23,"Superpower,Romance,Parody,Comedy",30408,Source Unknown,
230,spring,1983,Perman (1983),Shin-Ei Animation,526,12,"Superpower,School,Kids,Comedy",30410,Source Unknown,
238,spring,1983,Personal Computer Travel Tanteidan,,26,24,"Sci-Fi,Kids,Historical,Adventure",30410,Source Unknown,
231,spring,1983,Soukou Kihei Votoms,Sunrise,52,25,"Space,Sci-Fi,Military,Mecha,Drama,Action",30407,Original,
233,spring,1983,Spoon Oba-san,Studio Pierrot,130,10,"Magic,Kids",30410,Novel,
232,spring,1983,Stop!! Hibari-kun!,Toei Animation,35,24,Comedy,30456,Manga,
236,spring,1983,Time Bokan Series: Itadakiman,Tatsunoko Production,20,24,Mecha,30415,Source Unknown,
227,spring,1983,Uchuu Senkan Yamato: Kanketsu-hen,Toei Animation,1,163,"Space,Sci-Fi,Military,Drama,Adventure,Action",30394,Original,
241,summer,1983,Cat's Eye,Tokyo Movie Shinsha,73,25,"Romance,Mystery,Comedy,Adventure,Action",30508,Manga,
246,summer,1983,Choro Q Dagram,Sunrise,1,,"Shounen,Sci-Fi,Mecha,Comedy",30506,Source Unknown,
243,summer,1983,Choujikuu Seiki Orguss,Artland,35,25,"Shounen,Sci-Fi,Romance,Mecha,Adventure,Action",30500,Source Unknown,
240,summer,1983,Hadashi no Gen,Madhouse,1,83,"Historical,Drama",30518,Manga,
242,summer,1983,Mahou no Tenshi Creamy Mami,Studio Pierrot,52,24,"Sci-Fi,School,Romance,Magic,Fantasy,Comedy",30498,Original,
