Index,Anime Index,Genre
680,71,Love Triangle
681,71,Based on a Manga
682,72,Drama
683,72,Romance
684,72,Shoujo
685,72,Coming of Age
686,72,Forest
687,72,Japanese Mythology
688,72,Loneliness
689,72,Melancholy
690,72,Supernatural
691,72,Youkai
692,72,Based on a Manga
693,73,Action
694,73,Adventure
695,73,Drama
696,73,Fantasy
697,73,Romance
698,73,Shoujo
699,73,Orphans
700,73,Political
701,73,Royalty
702,73,Based on a Manga
703,74,Comedy
704,74,Drama
705,74,Shounen
706,74,Delinquents
707,74,School Life
708,74,Slapstick
709,74,Teaching
710,74,Work Life
711,74,Based on a Manga
712,75,Drama
713,75,Shoujo
714,75,Slice of Life
715,75,Bodyguards
716,75,Cats
717,75,Countryside
718,75,Episodic
719,75,Iyashikei
720,75,Japanese Mythology
721,75,Orphans
722,75,Supernatural
723,75,Youkai
724,75,Based on a Manga
725,76,Drama
726,76,Romance
727,76,Shounen
728,76,Classical Music
729,76,Illness
730,76,Melancholy
731,76,Mental Illness
732,76,Music
733,76,noitaminA
734,76,Psychological
735,76,School Life
736,76,Tournaments
737,76,Unrequited Love
738,76,Based on a Manga
739,77,Fantasy
740,77,Seinen
741,77,Forest
742,77,Iyashikei
743,77,Supernatural
744,77,Based on a Manga
745,78,Drama
746,78,Sci Fi
747,78,Military
748,78,Outer Space
749,78,Political
750,78,Rivalries
751,78,Space Opera
752,78,War
753,78,Based on a Novel
754,79,Action
755,79,Ecchi
756,79,Psychological
757,79,Supernatural
758,79,Vampires
759,79,Based on a Light Novel
760,80,Drama
761,80,Melancholy
762,80,Based on a Light Novel
763,81,Shounen
764,81,Sports
765,81,Basketball
766,81,School Club
767,81,Tournaments
768,81,Based on a Manga
769,82,Action
770,82,Fantasy
771,82,Horror
772,82,Dark Fantasy
773,82,Isolated Society
774,82,Military
775,82,Outside World
776,82,Political
777,82,Post-apocalyptic
778,82,Based on a Manga
779,83,Drama
780,83,Josei
781,83,Romance
782,83,Sports
783,83,Love Triangle
784,83,School Club
785,83,School Life
786,83,Tournaments
787,83,Based on a Manga
788,84,Action
789,84,Mystery
790,84,Shounen
791,84,Proxy Battles
792,84,Supernatural
793,84,Based on a Manga
794,85,Drama
795,85,Shounen
796,85,Anime Industry
797,85,Manga Industry
798,85,Otaku Culture
799,85,Voice Acting
800,85,Writers
801,85,Based on a Manga
802,86,Drama
803,86,Fantasy
804,86,Shoujo
805,86,Bodyguards
806,86,Cats
807,86,Countryside
808,86,Iyashikei
809,86,Japanese Mythology
810,86,Orphans
811,86,Supernatural
812,86,Youkai
813,86,Based on a Manga
814,87,Action
815,87,Comedy
816,87,Drama
817,87,Sci Fi
818,87,Shounen
819,87,School Life
820,87,Superheroes
821,87,Superpowers
822,87,Weak to Strong
823,87,Based on a Manga
824,88,Action
825,88,Adventure
826,88,Comedy
827,88,Shounen
828,88,Monster-of-the-week
829,88,Proxy Battles
830,88,Supernatural
831,88,Based on a Manga
832,89,Drama
833,89,Lifestyle Change
834,89,Melancholy
835,89,War
836,89,Based on a Light Novel
837,90,Action
838,90,Adventure
839,90,Comedy
840,90,Fantasy
841,90,Shounen
842,90,Cheats
843,90,Demons
844,90,Isekai
845,90,Magic
846,90,Modern Knowledge
847,90,Monsters
848,90,Non-Human Protagonists
849,90,Overpowered Main Characters
850,90,Person in a Strange World
851,90,Political
852,90,Reincarnation
853,90,RPG
854,90,Slimes
855,90,Based on a Manga
856,91,BL
857,91,Drama
858,91,Shounen-ai
859,91,Music
860,91,noitaminA
861,91,Based on a Manga
862,92,Comedy
863,92,Romance
864,92,Shoujo
865,92,Animal Characteristics
866,92,Interspecies Relationship
867,92,Japanese Mythology
868,92,Master-Servant Relationship
869,92,Non-Human Protagonists
870,92,Based on a Manga
871,93,Shounen
872,93,Sports
873,93,Basketball
874,93,School Club
875,93,Tournaments
876,93,Based on a Manga
877,94,Action
878,94,Fantasy
879,94,Guns
880,94,Isekai
881,94,Military
882,94,Person in a Strange World
883,94,Reincarnation
884,94,War
885,94,Based on a Light Novel
886,95,Drama
887,95,Sci Fi
888,95,Thriller
889,95,Time Travel
890,95,Based on a Visual Novel
891,96,Drama
892,96,Fantasy
893,96,Shoujo
894,96,Bodyguards
895,96,Cats
896,96,Countryside
897,96,Episodic
898,96,Iyashikei
899,96,Japanese Mythology
900,96,Orphans
901,96,Supernatural
902,96,Youkai
903,96,Based on a Manga
904,97,Action
905,97,Fantasy
906,97,Anthropomorphic
907,97,Coming of Age
908,97,Isekai
909,97,Japanese Mythology
910,97,Non-Human Protagonists
911,97,Person in a Strange World
912,97,Original Work
913,98,Mystery
914,98,Shounen
915,98,Criminals
916,98,Detectives
917,98,Mind Games
918,98,Overpowered Main Characters
919,98,Psychological
920,98,Psychopaths
921,98,Rivalries
922,98,Serial Killers
923,98,Shinigami
924,98,Supernatural
925,98,Thriller
926,98,Vigilantes
927,98,Based on a Manga
928,99,Action
929,99,Drama
930,99,Horror
931,99,Sci Fi
932,99,Seinen
933,99,Aliens
934,99,Body Sharing
935,99,Psychological
936,99,Based on a Manga
937,100,Drama
938,100,Shounen
939,100,Sports
940,100,Baseball
941,100,Based on a Manga
942,101,Comedy
943,101,Ecchi
944,101,Shounen
945,101,Cooking
946,101,Culinary School
947,101,Food and Beverage
948,101,School Life
949,101,Tournaments
950,101,Based on a Manga
951,102,Comedy
952,102,Drama
953,102,Fantasy
954,102,Romance
955,102,Shoujo
956,102,Animal Transformation
957,102,Contemporary Fantasy
958,102,Curse
959,102,Love Triangle
960,102,Based on a Manga
961,103,Adventure
962,103,Fantasy
963,103,Mystery
964,103,Sci Fi
965,103,Seinen
966,103,Curse
967,103,Dark Fantasy
968,103,Human Experimentation
969,103,Non-Human Protagonists
970,103,Orphans
971,103,Outside World
972,103,Robots
973,103,Based on a Manga
974,104,Action
975,104,Adventure
976,104,Drama
977,104,Fantasy
978,104,Seinen
979,104,Animal Characteristics
980,104,Dark Fantasy
981,104,Demons
982,104,Isekai
983,104,Monsters
984,104,Person in a Strange World
985,104,RPG
986,104,Summoned Into Another World
987,104,Based on a Light Novel
988,105,Mystery
989,105,Overpowered Main Characters
990,105,Supernatural
991,105,Based on a Light Novel
992,106,Action
993,106,Comedy
994,106,Shounen
995,106,Overpowered Main Characters
996,106,Psychic Powers
997,106,Psychological
998,106,School Life
999,106,Supernatural
1000,106,Superpowers
1001,106,Based on a Manga
1002,107,Fantasy
1003,107,Seinen
1004,107,Episodic
1005,107,Iyashikei
1006,107,Supernatural
1007,107,Based on a Manga
1008,108,Action
1009,108,Fantasy
1010,108,Romance
1011,108,Magic
1012,108,Superpowers
1013,108,Based on an Eroge
1014,108,Based on a Visual Novel
1015,109,Action
1016,109,Fantasy
1017,109,Horror
1018,109,Shounen
1019,109,Dark Fantasy
1020,109,Isolated Society
1021,109,Military
1022,109,Outside World
1023,109,Overpowered Main Characters
1024,109,Post-apocalyptic
1025,109,Revenge
1026,109,Based on a Manga
1027,110,Action
1028,110,Comedy
1029,110,Drama
1030,110,Sci Fi
1031,110,Shounen
1032,110,Aliens
