Index,Title,Type,Episodes,Ongoing,Release Season,Start Year,End Year
115,Quan Zhi Gao Shou (2018),OVA,3,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
116,Rakshasa Street 2nd Season,Web,5,true,,2019-01-01 00:00:00,
117,Food Wars! Shokugeki no Souma,TV,24,false,Spring,2015-01-01 00:00:00,2015-01-01 00:00:00
118,Food Wars! The Third Plate,TV,12,false,Fall,2017-01-01 00:00:00,2017-01-01 00:00:00
119,Barakamon,TV,12,false,Summer,2014-01-01 00:00:00,2014-01-01 00:00:00
120,No Game No Life: Zero,Movie,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
121,Legend of the Galactic Heroes: Die Neue These Second 3,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
122,Kingdom 3,TV,4,true,Spring,2020-01-01 00:00:00,
123,Noragami Aragoto,TV,13,false,Fall,2015-01-01 00:00:00,2015-01-01 00:00:00
124,Chihayafuru 2,TV,25,false,Winter,2013-01-01 00:00:00,2013-01-01 00:00:00
125,Natsume's Book of Friends Season 5 Specials,DVD Special,2,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
126,Attack on Titan 2nd Season,TV,12,false,Spring,2017-01-01 00:00:00,2017-01-01 00:00:00
127,Steins;Gate: Egoistic Poriomania,DVD Special,1,false,,2012-01-01 00:00:00,2012-01-01 00:00:00
128,Shouwa Genroku Rakugo Shinjuu,TV,13,false,Winter,2016-01-01 00:00:00,2016-01-01 00:00:00
129,Kono Oto Tomare! 2nd Season,TV,13,false,Fall,2019-01-01 00:00:00,2019-01-01 00:00:00
130,Tengen Toppa Gurren Lagann,TV,27,false,Spring,2007-01-01 00:00:00,2007-01-01 00:00:00
131,Black Butler: Book of the Atlantic,Movie,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
132,No Game No Life,TV,12,false,Spring,2014-01-01 00:00:00,2014-01-01 00:00:00
133,Anohana: The Flower We Saw That Day,TV,11,false,Spring,2011-01-01 00:00:00,2011-01-01 00:00:00
134,Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,OVA,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
135,Bakuman. 2,TV,25,false,Fall,2011-01-01 00:00:00,2012-01-01 00:00:00
136,Food Wars! The Third Plate: Totsuki Train Arc,TV,12,false,Spring,2018-01-01 00:00:00,2018-01-01 00:00:00
137,Dororo (2019),TV,24,false,Winter,2019-01-01 00:00:00,2019-01-01 00:00:00
138,The Seven Deadly Sins: Revival of The Commandments,TV,24,false,Winter,2018-01-01 00:00:00,2018-01-01 00:00:00
139,Overlord III,TV,13,false,Summer,2018-01-01 00:00:00,2018-01-01 00:00:00
140,Attack on Titan: No Regrets,OVA,2,false,,2014-01-01 00:00:00,2015-01-01 00:00:00
141,Spice and Wolf II,TV,12,false,Summer,2009-01-01 00:00:00,2009-01-01 00:00:00
142,The Disastrous Life of Saiki K. 3,TV Special,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
143,Evangelion: 2.0 You Can (Not) Advance,Movie,1,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
144,One Piece Movie 10: Strong World,Movie,1,false,,2009-01-01 00:00:00,2009-01-01 00:00:00
145,Hajime no Ippo: Champion Road,TV Special,1,false,,2003-01-01 00:00:00,2003-01-01 00:00:00
146,Black Lagoon: The Second Barrage,TV,12,false,Fall,2006-01-01 00:00:00,2006-01-01 00:00:00
147,Scissor Seven 2nd Season,Web,10,false,,2019-01-01 00:00:00,2020-01-01 00:00:00
148,Rascal Does Not Dream of Bunny Girl Senpai,TV,13,false,Fall,2018-01-01 00:00:00,2018-01-01 00:00:00
149,Kamisama Kiss 2nd Season,TV,12,false,Winter,2015-01-01 00:00:00,2015-01-01 00:00:00
150,The Disastrous Life of Saiki K.,TV,120,false,Summer,2016-01-01 00:00:00,2016-01-01 00:00:00
