Index,Anime Index,Status,Viewers,Rating
292,74,To-Watch,11537,4.523
293,74,Dropped,1924,4.523
294,75,Watched,13864,4.523
295,75,Watching,710,4.523
296,75,To-Watch,6836,4.523
297,75,Dropped,203,4.523
298,76,Watched,46037,4.522
299,76,Watching,5381,4.522
300,76,To-Watch,17173,4.522
301,76,Dropped,2256,4.522
302,77,Watched,4380,4.522
303,77,Watching,89,4.522
304,77,To-Watch,3105,4.522
305,77,Dropped,34,4.522
306,78,Watched,3389,4.52
307,78,Watching,1331,4.52
308,78,To-Watch,8011,4.52
309,78,Dropped,501,4.52
310,79,Watched,6999,4.52
311,79,Watching,152,4.52
312,79,To-Watch,4851,4.52
313,79,Dropped,27,4.52
314,80,Watched,2864,4.518
315,80,Watching,134,4.518
316,80,To-Watch,2945,4.518
317,80,Dropped,20,4.518
318,81,Watched,21276,4.518
319,81,Watching,2901,4.518
320,81,To-Watch,6037,4.518
321,81,Dropped,323,4.518
322,82,Watched,27910,4.516
323,82,Watching,4909,4.516
324,82,To-Watch,12016,4.516
325,82,Dropped,350,4.516
326,83,Watched,1196,4.515
327,83,Watching,882,4.515
328,83,To-Watch,2733,4.515
329,83,Dropped,44,4.515
330,84,Watched,13258,4.514
331,84,Watching,2812,4.514
332,84,To-Watch,5358,4.514
333,84,Dropped,322,4.514
334,85,Watched,13066,4.513
335,85,Watching,935,4.513
336,85,To-Watch,5397,4.513
337,85,Dropped,324,4.513
338,86,Watched,1131,4.512
339,86,Watching,68,4.512
340,86,To-Watch,2421,4.512
341,86,Dropped,17,4.512
342,87,Watched,78931,4.512
343,87,Watching,11022,4.512
344,87,To-Watch,16102,4.512
345,87,Dropped,959,4.512
346,88,Watched,15812,4.509
347,88,Watching,1910,4.509
348,88,To-Watch,4843,4.509
349,88,Dropped,203,4.509
350,89,Watched,20283,4.508
351,89,Watching,3216,4.508
352,89,To-Watch,10015,4.508
353,89,Dropped,1146,4.508
354,90,Watched,24765,4.507
355,90,Watching,8432,4.507
356,90,To-Watch,8392,4.507
357,90,Dropped,803,4.507
358,91,Watched,7106,4.508
359,91,Watching,1794,4.508
360,91,To-Watch,4260,4.508
361,91,Dropped,257,4.508
362,92,Watched,10021,4.507
363,92,Watching,990,4.507
364,92,To-Watch,4926,4.507
365,92,Dropped,97,4.507
366,93,Watched,28445,4.504
367,93,Watching,2024,4.504
368,93,To-Watch,5567,4.504
369,93,Dropped,361,4.504
370,94,Watched,4272,4.503
371,94,Watching,221,4.503
372,94,To-Watch,4397,4.503
373,94,Dropped,52,4.503
374,95,Watched,17600,4.503
375,95,Watching,210,4.503
376,95,To-Watch,11464,4.503
377,95,Dropped,85,4.503
378,96,Watched,1870,4.501
379,96,Watching,174,4.501
380,96,To-Watch,1576,4.501
381,96,Dropped,22,4.501
382,97,Watched,15321,4.501
383,97,Watching,212,4.501
384,97,To-Watch,8044,4.501
385,97,Dropped,59,4.501
386,98,Watched,161567,4.501
387,98,Watching,11048,4.501
388,98,To-Watch,17819,4.501
389,98,Dropped,7830,4.501
390,99,Watched,50239,4.497
391,99,Watching,6302,4.497
392,99,To-Watch,16674,4.497
393,99,Dropped,1497,4.497
394,100,Watched,5051,4.497
395,100,Watching,252,4.497
396,100,To-Watch,1450,4.497
397,100,Dropped,69,4.497
398,101,Watched,31105,4.497
399,101,Watching,2762,4.497
400,101,To-Watch,7209,4.497
401,101,Dropped,351,4.497
402,102,Watched,9059,4.496
403,102,Watching,5764,4.496
404,102,To-Watch,7475,4.496
405,102,Dropped,601,4.496
406,103,Watched,344,4.495
407,103,Watching,78,4.495
408,103,To-Watch,5868,4.495
409,103,Dropped,7,4.495
410,104,Watched,25990,4.494
411,104,Watching,10092,4.494
412,104,To-Watch,9215,4.494
413,104,Dropped,856,4.494
414,105,Watched,8525,4.494
415,105,Watching,147,4.494
416,105,To-Watch,4186,4.494
417,105,Dropped,53,4.494
418,106,Watched,34423,4.493
419,106,Watching,3716,4.493
420,106,To-Watch,10529,4.493
421,106,Dropped,1063,4.493
422,107,Watched,24016,4.491
423,107,Watching,4535,4.491
424,107,To-Watch,19131,4.491
425,107,Dropped,2079,4.491
426,108,Watched,2455,4.489
427,108,Watching,133,4.489
428,108,To-Watch,4285,4.489
429,108,Dropped,14,4.489
430,109,Watched,121565,4.488
431,109,Watching,11986,4.488
432,109,To-Watch,14431,4.488
433,109,Dropped,3739,4.488
434,110,Watched,8129,4.488
435,110,Watching,109,4.488
436,110,To-Watch,4034,4.488
437,110,Dropped,70,4.488
438,111,Watched,23023,4.486
439,111,Watching,1039,4.486
440,111,To-Watch,9440,4.486
441,111,Dropped,407,4.486
442,112,Watching,3183,4.483
443,112,To-Watch,1916,4.483
444,112,Dropped,29,4.483
445,113,Watched,31968,4.485
446,113,Watching,15732,4.485
447,113,To-Watch,16911,4.485
448,113,Dropped,1769,4.485
449,114,Watched,2759,4.489
450,114,Watching,282,4.489
451,114,To-Watch,8630,4.489
452,114,Dropped,11,4.489
453,115,Watched,4066,4.483
454,115,Watching,258,4.483
455,115,To-Watch,1860,4.483
456,115,Dropped,40,4.483
457,116,Watching,47,4.482
458,116,To-Watch,102,4.482
459,116,Dropped,0,4.482
460,117,Watched,41823,4.482
461,117,Watching,6008,4.482
462,117,To-Watch,11285,4.482
463,117,Dropped,1528,4.482
464,118,Watched,21203,4.481
465,118,Watching,2544,4.481
466,118,To-Watch,6568,4.481
467,118,Dropped,224,4.481
468,119,Watched,18779,4.48
469,119,Watching,1621,4.48
470,119,To-Watch,7969,4.48
471,119,Dropped,513,4.48
472,120,Watched,18707,4.479
473,120,Watching,615,4.479
474,120,To-Watch,11439,4.479
475,120,Dropped,241,4.479
476,121,Watched,437,4.481
477,121,Watching,17,4.481
478,121,To-Watch,445,4.481
479,121,Dropped,1,4.481
480,122,Watching,515,4.476
481,122,To-Watch,740,4.476
482,122,Dropped,14,4.476
483,123,Watched,39954,4.475
484,123,Watching,3028,4.475
485,123,To-Watch,10035,4.475
486,123,Dropped,493,4.475
487,124,Watched,10530,4.475
488,124,Watching,849,4.475
489,124,To-Watch,4789,4.475
490,124,Dropped,322,4.475
491,125,Watched,1854,4.475
492,125,Watching,103,4.475
493,125,To-Watch,1327,4.475
494,125,Dropped,21,4.475
495,126,Watched,48059,4.474
496,126,Watching,5699,4.474
497,126,To-Watch,16677,4.474
498,126,Dropped,641,4.474
499,127,Watched,19893,4.473
500,127,Watching,125,4.473
501,127,To-Watch,5232,4.473
502,127,Dropped,63,4.473
