Index,Anime Index,Warning
1071,860,Animal Abuse
1072,860,Mature Themes
1073,860,Violence
1074,861,None
1075,862,Nudity
1076,863,Nudity
1077,863,Sexual Content
1078,864,Explicit Violence
1079,864,Mature Themes
1080,864,Physical Abuse
1081,865,None
1082,866,None
1083,867,Explicit Violence
1084,867,Nudity
1085,868,None
1086,869,None
1087,870,None
1088,871,None
1089,872,Nudity
1090,873,None
1091,874,Mature Themes
1092,874,Physical Abuse
1093,875,None
1094,876,Explicit Violence
1095,877,None
1096,878,None
1097,879,None
1098,880,None
1099,881,Bullying
1100,881,Emotional Abuse
1101,882,None
1102,883,None
1103,884,None
1104,885,None
1105,886,None
1106,887,None
1107,888,None
1108,889,None
1109,890,None
1110,891,None
1111,892,None
1112,893,None
1113,894,None
1114,895,None
1115,896,Mature Themes
1116,896,Physical Abuse
1117,896,Suicide
1118,896,Violence
1119,897,None
1120,898,None
1121,899,None
1122,900,None
1123,901,None
1124,902,None
1125,903,None
1126,904,Violence
1127,905,None
1128,906,None
1129,907,None
1130,908,None
1131,909,None
1132,910,None
1133,911,None
1134,912,None
1135,913,None
1136,914,None
1137,915,None
1138,916,Nudity
1139,917,None
1140,918,None
1141,919,None
1142,920,Explicit Violence
1143,921,None
1144,922,None
1145,923,Mature Themes
1146,923,Physical Abuse
1147,923,Sexual Abuse
1148,923,Sexual Content
1149,923,Violence
1150,924,None
1151,925,None
1152,926,None
1153,927,None
1154,928,Mature Themes
1155,928,Suicide
1156,929,Explicit Violence
1157,929,Mature Themes
1158,929,Physical Abuse
1159,929,Sexual Abuse
1160,930,None
1161,931,None
1162,932,None
1163,933,None
1164,934,None
1165,935,None
1166,936,None
1167,937,None
1168,938,None
1169,939,Violence
1170,940,None
1171,941,Violence
1172,942,None
1173,943,None
1174,944,None
1175,945,None
1176,946,None
1177,947,None
1178,948,None
1179,949,None
1180,950,None
1181,951,Mature Themes
1182,951,Suicide
1183,952,None
1184,953,None
1185,954,None
1186,955,None
1187,956,None
1188,957,None
1189,958,None
1190,959,None
1191,960,Cannibalism
1192,960,Violence
1193,961,None
1194,962,None
1195,963,None
1196,964,None
1197,965,None
1198,966,None
1199,967,None
1200,968,Violence
1201,969,None
1202,970,None
1203,971,None
1204,972,None
1205,973,Violence
1206,974,None
1207,975,None
1208,976,None
1209,977,None
1210,978,None
